Type,Eps,mat_det_func,Left,Mid,Right
float64,0,mat_det_2x2,49941,0,50059
float64,0,mat_det_2x2_lib,49941,0,50059
float64,0,mat_det_3x3,49941,0,50059
float64,0,mat_det_3x3_lib,49941,0,50059
float32,0,mat_det_2x2,49941,0,50059
float32,0,mat_det_2x2_lib,49941,0,50059
float32,0,mat_det_3x3,49941,0,50059
float32,0,mat_det_3x3_lib,49941,0,50059
float64,1e-14,mat_det_2x2,49941,0,50059
float64,1e-14,mat_det_2x2_lib,49941,0,50059
float64,1e-14,mat_det_3x3,49941,0,50059
float64,1e-14,mat_det_3x3_lib,49941,0,50059
float32,1e-14,mat_det_2x2,49941,0,50059
float32,1e-14,mat_det_2x2_lib,49941,0,50059
float32,1e-14,mat_det_3x3,49941,0,50059
float32,1e-14,mat_det_3x3_lib,49941,0,50059
float64,1e-12,mat_det_2x2,49941,0,50059
float64,1e-12,mat_det_2x2_lib,49941,0,50059
float64,1e-12,mat_det_3x3,49941,0,50059
float64,1e-12,mat_det_3x3_lib,49941,0,50059
float32,1e-12,mat_det_2x2,49941,0,50059
float32,1e-12,mat_det_2x2_lib,49941,0,50059
float32,1e-12,mat_det_3x3,49941,0,50059
float32,1e-12,mat_det_3x3_lib,49941,0,50059
float64,1e-10,mat_det_2x2,49941,0,50059
float64,1e-10,mat_det_2x2_lib,49941,0,50059
float64,1e-10,mat_det_3x3,49941,0,50059
float64,1e-10,mat_det_3x3_lib,49941,0,50059
float32,1e-10,mat_det_2x2,49941,0,50059
float32,1e-10,mat_det_2x2_lib,49941,0,50059
float32,1e-10,mat_det_3x3,49941,0,50059
float32,1e-10,mat_det_3x3_lib,49941,0,50059
float64,1e-08,mat_det_2x2,49941,0,50059
float64,1e-08,mat_det_2x2_lib,49941,0,50059
float64,1e-08,mat_det_3x3,49941,0,50059
float64,1e-08,mat_det_3x3_lib,49941,0,50059
float32,1e-08,mat_det_2x2,49941,0,50059
float32,1e-08,mat_det_2x2_lib,49941,0,50059
float32,1e-08,mat_det_3x3,49941,0,50059
float32,1e-08,mat_det_3x3_lib,49941,0,50059
