Type,Eps,mat_det_func,Left,Mid,Right
float64,0,mat_det_2x2,50065,6,49929
float64,0,mat_det_2x2_lib,50065,7,49928
float64,0,mat_det_3x3,50068,0,49932
float64,0,mat_det_3x3_lib,50068,0,49932
float32,0,mat_det_2x2,0,100000,0
float32,0,mat_det_2x2_lib,6648,86767,6585
float32,0,mat_det_3x3,50068,0,49932
float32,0,mat_det_3x3_lib,50068,0,49932
float64,1e-14,mat_det_2x2,50065,6,49929
float64,1e-14,mat_det_2x2_lib,50065,7,49928
float64,1e-14,mat_det_3x3,50068,0,49932
float64,1e-14,mat_det_3x3_lib,50068,0,49932
float32,1e-14,mat_det_2x2,0,100000,0
float32,1e-14,mat_det_2x2_lib,6648,86767,6585
float32,1e-14,mat_det_3x3,50068,0,49932
float32,1e-14,mat_det_3x3_lib,50068,0,49932
float64,1e-12,mat_det_2x2,50065,6,49929
float64,1e-12,mat_det_2x2_lib,50065,7,49928
float64,1e-12,mat_det_3x3,50068,0,49932
float64,1e-12,mat_det_3x3_lib,50068,0,49932
float32,1e-12,mat_det_2x2,0,100000,0
float32,1e-12,mat_det_2x2_lib,6648,86767,6585
float32,1e-12,mat_det_3x3,50068,0,49932
float32,1e-12,mat_det_3x3_lib,50068,0,49932
float64,1e-10,mat_det_2x2,50065,6,49929
float64,1e-10,mat_det_2x2_lib,50065,7,49928
float64,1e-10,mat_det_3x3,50068,0,49932
float64,1e-10,mat_det_3x3_lib,50068,0,49932
float32,1e-10,mat_det_2x2,0,100000,0
float32,1e-10,mat_det_2x2_lib,6648,86767,6585
float32,1e-10,mat_det_3x3,50068,0,49932
float32,1e-10,mat_det_3x3_lib,50068,0,49932
float64,1e-08,mat_det_2x2,50065,6,49929
float64,1e-08,mat_det_2x2_lib,50065,7,49928
float64,1e-08,mat_det_3x3,50068,0,49932
float64,1e-08,mat_det_3x3_lib,50068,0,49932
float32,1e-08,mat_det_2x2,0,100000,0
float32,1e-08,mat_det_2x2_lib,6648,86767,6585
float32,1e-08,mat_det_3x3,50068,0,49932
float32,1e-08,mat_det_3x3_lib,50068,0,49932
