Type,Eps,mat_det_func,Left,Mid,Right
float64,0,mat_det_2x2,135,730,135
float64,0,mat_det_2x2_lib,164,671,165
float64,0,mat_det_3x3,82,691,227
float64,0,mat_det_3x3_lib,408,325,267
float32,0,mat_det_2x2,155,658,187
float32,0,mat_det_2x2_lib,466,0,534
float32,0,mat_det_3x3,246,571,183
float32,0,mat_det_3x3_lib,507,37,456
float64,1e-14,mat_det_2x2,129,744,127
float64,1e-14,mat_det_2x2_lib,154,689,157
float64,1e-14,mat_det_3x3,0,930,70
float64,1e-14,mat_det_3x3_lib,47,908,45
float32,1e-14,mat_det_2x2,155,658,187
float32,1e-14,mat_det_2x2_lib,466,0,534
float32,1e-14,mat_det_3x3,246,571,183
float32,1e-14,mat_det_3x3_lib,437,147,416
float64,1e-12,mat_det_2x2,73,849,78
float64,1e-12,mat_det_2x2_lib,101,789,110
float64,1e-12,mat_det_3x3,0,1000,0
float64,1e-12,mat_det_3x3_lib,0,1000,0
float32,1e-12,mat_det_2x2,155,658,187
float32,1e-12,mat_det_2x2_lib,466,0,534
float32,1e-12,mat_det_3x3,246,571,183
float32,1e-12,mat_det_3x3_lib,430,163,407
float64,1e-10,mat_det_2x2,0,1000,0
float64,1e-10,mat_det_2x2_lib,0,1000,0
float64,1e-10,mat_det_3x3,0,1000,0
float64,1e-10,mat_det_3x3_lib,0,1000,0
float32,1e-10,mat_det_2x2,155,658,187
float32,1e-10,mat_det_2x2_lib,466,0,534
float32,1e-10,mat_det_3x3,246,571,183
float32,1e-10,mat_det_3x3_lib,430,163,407
float64,1e-08,mat_det_2x2,0,1000,0
float64,1e-08,mat_det_2x2_lib,0,1000,0
float64,1e-08,mat_det_3x3,0,1000,0
float64,1e-08,mat_det_3x3_lib,0,1000,0
float32,1e-08,mat_det_2x2,155,658,187
float32,1e-08,mat_det_2x2_lib,465,1,534
float32,1e-08,mat_det_3x3,246,572,182
float32,1e-08,mat_det_3x3_lib,430,165,405
