Type,DataType,Epsilon,Determinant,Left,On Line,Right
A,float64,1e-12,mat_det_2x2,49941,0,50059
A,float64,1e-12,mat_det_2x2_lib,49941,0,50059
A,float64,1e-12,mat_det_3x3,49941,0,50059
A,float64,1e-12,mat_det_3x3_lib,49941,0,50059
A,float32,1e-12,mat_det_2x2,49941,0,50059
A,float32,1e-12,mat_det_2x2_lib,49941,0,50059
A,float32,1e-12,mat_det_3x3,49941,0,50059
A,float32,1e-12,mat_det_3x3_lib,49941,0,50059
B,float64,1e-12,mat_det_2x2,50065,6,49929
B,float64,1e-12,mat_det_2x2_lib,50065,7,49928
B,float64,1e-12,mat_det_3x3,50068,0,49932
B,float64,1e-12,mat_det_3x3_lib,50068,0,49932
B,float32,1e-12,mat_det_2x2,0,100000,0
B,float32,1e-12,mat_det_2x2_lib,6648,86767,6585
B,float32,1e-12,mat_det_3x3,50068,0,49932
B,float32,1e-12,mat_det_3x3_lib,50068,0,49932
C,float64,1e-12,mat_det_2x2,488,0,512
C,float64,1e-12,mat_det_2x2_lib,488,0,512
C,float64,1e-12,mat_det_3x3,488,0,512
C,float64,1e-12,mat_det_3x3_lib,488,0,512
C,float32,1e-12,mat_det_2x2,488,0,512
C,float32,1e-12,mat_det_2x2_lib,488,0,512
C,float32,1e-12,mat_det_3x3,488,0,512
C,float32,1e-12,mat_det_3x3_lib,488,0,512
D,float64,1e-12,mat_det_2x2,73,849,78
D,float64,1e-12,mat_det_2x2_lib,101,789,110
D,float64,1e-12,mat_det_3x3,0,1000,0
D,float64,1e-12,mat_det_3x3_lib,0,1000,0
D,float32,1e-12,mat_det_2x2,155,658,187
D,float32,1e-12,mat_det_2x2_lib,466,0,534
D,float32,1e-12,mat_det_3x3,246,571,183
D,float32,1e-12,mat_det_3x3_lib,430,163,407
