PointsNo,Hull,GrahamTime,JarvisTime
1000,21,0.010173320770263672,0.01610398292541504
2500,21,0.02631354331970215,0.041628122329711914
5000,21,0.059214115142822266,0.08560442924499512
10000,24,0.1286473274230957,0.1864464282989502
25000,26,0.3492317199707031,0.5792422294616699
50000,33,0.746021032333374,1.3007185459136963
60000,28,0.9066150188446045,1.3149464130401611
70000,29,1.0554778575897217,1.589383602142334
85000,38,1.3278937339782715,2.590327262878418
100000,34,1.604872703552246,2.7150070667266846
