PointsNo,Hull,GrahamTime,JarvisTime
100,100,0.0004894733428955078,0.0076274871826171875
500,500,0.0038497447967529297,0.20768213272094727
1000,1000,0.008647441864013672,0.7788028717041016
2000,2000,0.01893305778503418,3.056279420852661
3000,3000,0.02945566177368164,6.769918203353882
5000,5000,0.052857160568237305,19.66111469268799
7000,7000,0.07377386093139648,36.57478880882263
8000,8000,0.08735918998718262,49.682533979415894
10000,10000,0.1126093864440918,77.21920442581177
12000,12000,0.13782453536987305,109.87876343727112
