PointsNo,Hull,GrahamTime,JarvisTime
1000,8,0.0062558650970458984,0.003984212875366211
2500,8,0.02182173728942871,0.011725902557373047
5000,8,0.04446578025817871,0.020553112030029297
10000,8,0.09212899208068848,0.041722774505615234
25000,8,0.2528977394104004,0.10358858108520508
50000,8,0.6535518169403076,0.26027631759643555
60000,8,0.7251160144805908,0.24861645698547363
70000,8,0.8280818462371826,0.2896440029144287
85000,8,1.037532091140747,0.35058093070983887
100000,8,1.2952532768249512,0.40987586975097656
